id,date,prcp,tmin,tmax,tavg,tsun
MXM00076680,2019-09-24,0.0,12.6,27.1,20.6,
MXM00076680,2019-09-25,19.8,14.6,26.8,18.7,
MXM00076680,2019-09-26,11.4,,,18.1,
MXM00076680,2019-09-27,0.0,13.5,26.6,19.8,
MXM00076680,2019-09-28,0.0,14.0,27.3,20.3,
MXM00076680,2019-09-29,,,,17.2,
MXM00076680,2019-10-01,6.1,13.3,24.9,17.6,
MXM00076680,2019-10-03,0.0,13.0,26.2,18.2,
MXM00076680,2019-10-04,0.8,14.4,26.4,17.3,
MXM00076680,2019-10-05,0.5,13.6,25.7,19.5,
MXM00076680,2019-10-06,0.0,13.1,25.1,20.8,
MXM00076680,2019-10-07,0.0,12.0,25.8,16.8,
MXM00076680,2019-10-09,,12.5,22.0,16.3,
MXM00076680,2019-10-11,,15.0,28.0,20.7,
MXM00076680,2019-10-12,12.4,14.5,26.5,19.2,
MXM00076680,2019-10-13,0.0,,,19.6,
MXM00076680,2019-10-14,0.0,13.2,27.5,20.6,
MXM00076680,2019-10-15,0.0,13.5,28.1,18.5,
MXM00076680,2019-10-16,0.0,13.5,27.6,18.7,
MXM00076680,2019-10-17,,,,14.8,
MXM00076680,2019-10-18,5.1,,,16.7,
MXM00076680,2019-10-19,0.3,,,18.6,
MXM00076680,2019-10-20,0.0,14.4,26.6,20.4,
MXM00076680,2019-10-21,0.0,13.8,25.5,19.1,
MXM00076680,2019-10-22,,13.8,20.5,19.1,
MXM00076680,2019-10-23,0.0,13.0,21.3,15.7,
MXM00076680,2019-10-24,0.0,13.0,23.5,16.4,
MXM00076680,2019-10-25,7.1,13.0,24.7,15.3,
MXM00076680,2019-10-26,4.3,13.0,21.6,16.4,
MXM00076680,2019-10-27,1.3,,,18.0,
MXM00076680,2019-10-28,0.0,,,18.5,
MXM00076680,2019-10-29,9.4,14.5,26.1,18.3,
MXM00076680,2019-10-30,0.0,,,19.9,
MXM00076680,2019-10-31,4.3,13.0,25.0,17.6,
MXM00076680,2019-11-01,6.4,11.0,20.0,14.8,
MXM00076680,2019-11-03,0.0,,,15.4,
MXM00076680,2019-11-04,0.0,,,16.6,
MXM00076680,2019-11-05,0.0,11.6,24.6,19.8,
MXM00076680,2019-11-06,10.4,11.2,24.3,15.7,
