,CODIGO_AGENCIA,ID_RUTA,ID_CLIENTE,DESCRIPCION_CLIENTE,ID_RFC_CLIENTE,NOMBRE_TIENDA,ESTADO,CIUDAD,CODIGO_POSTAL,COLONIA,CALLE,NUMERO_EXTERIOR,NUMERO_INTERIOR,FORMA_PAGO,DIAS_CREDITO,ID_LETRA_FACTURACION,ID_TIPO_FISCAL,DIRECCION_FISCAL,POBLACION,CODIGO_CADENA,ID_TIPO_VENTA,CLIENTE_CREDITO,TOPE_DEVOLUCION,TIPO_FACT,TIPO_CLIENTE,REGISTRAR_FOLIO,APLICA_DC,NUMERO_TIENDA,CALLE_CRUZA,IMP_PESITO,VISITAS,ID_TIPO_DOCUMENTO,COMISION_PESITO,MONEDERO,DOCTODIGITAL,CREDITO_PESITO,IMP_PESITO_CLIENTE,TASA_COMISION,QUINCENAL,FACT_DIGITAL,PREIMPRESA,IMP_SE_CLIENTE,LONG_FOLIO_NV,LONG_FOLIO_NC,LEYENDA_CLIENTE_NV,LEYENDA_CLIENTE_NC,PRINT_STAMP
129,39659,223,4973850,106 CHEDRAUI SELECTO TOREO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",MEXICO,NAUCALPAN DE JUAREZ,53390,LOMAS DE SOTELO,BOULEVARD MANUEL AVILA CAMACHO,5,1,1,45,A000,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,NAUCALPAN DE JUAREZ,1863,25,1,2,2,0,1,0,106,CALZADA INGENIEROS MILITARES y AVENIDA RIO SAN JOA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,0
130,12688,224,4511107,2643 SC NICOLAS ROMERO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",MEXICO,NICOLAS ROMERO,54414,AMPLIACION VISTA HERMOSA,BOULEVARD ARTURO MONTIEL ROJAS,KM10,700,1,30,A000,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,NICOLAS ROMERO,4,29,1,2.09999990463257,2,0,1,0,2643,AVENIDA LAS FLORES y CALLE 6 DE ENERO,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
131,20139,224,4511107,2643 SC NICOLAS ROMERO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",MEXICO,NICOLAS ROMERO,54414,AMPLIACION VISTA HERMOSA,BOULEVARD ARTURO MONTIEL ROJAS,KM10,700,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,NICOLAS ROMERO,4,29,1,2.5,1,0,1,0,2643,AVENIDA LAS FLORES y CALLE 6 DE ENERO,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
132,39659,224,4511107,2643 SC NICOLAS ROMERO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",MEXICO,NICOLAS ROMERO,54414,AMPLIACION VISTA HERMOSA,BOULEVARD ARTURO MONTIEL ROJAS,KM10,700,1,30,A000,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,NICOLAS ROMERO,4,29,1,2.09999990463257,2,0,1,0,2643,AVENIDA LAS FLORES y CALLE 6 DE ENERO,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
133,12688,227,19269,929 MEGA TLATELOLCO,TSO991022PB6,"TIENDAS SORIANA, S.A. DE C.V.",CIUDAD DE MEXICO,CUAUHTEMOC,6250,EX-HIPODROMO DE PERALVILLO,CALZADA DE LA RONDA,88,EJB,1,31,EGFJ,4,ALEJANDRO DE RODAS 3102 -A COL. LAS CUMBRES 8VO SEC MONTERREY NUEVO LEON MEXICO 64610,CUAUHTEMOC,3260,41,1,2.09999990463257,2,0,1,0,929,MANUEL GONZALEZ EJE 2 NTE y EJE CENTRAL,0,0,FC,2,0,0,0,1,16,0,1,1,0,6,6,No. de Folio:,No. de Folio:,1
134,20139,227,19269,929 MEGA TLATELOLCO,TSO991022PB6,"TIENDAS SORIANA, S.A. DE C.V.",CIUDAD DE MEXICO,CUAUHTEMOC,6250,EX-HIPODROMO DE PERALVILLO,CALZADA DE LA RONDA,88,EJB,1,45,EEFG,4,ALEJANDRO DE RODAS 3102 -A COL. LAS CUMBRES 8VO SEC MONTERREY NUEVO LEON MEXICO 64610,CUAUHTEMOC,3260,41,1,2.5,1,0,1,0,929,MANUEL GONZALEZ EJE 2 NTE y EJE CENTRAL,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
135,39659,227,19269,929 MEGA TLATELOLCO,TSO991022PB6,"TIENDAS SORIANA, S.A. DE C.V.",CIUDAD DE MEXICO,CUAUHTEMOC,6250,EX-HIPODROMO DE PERALVILLO,CALZADA DE LA RONDA,88,EJB,1,31,EGFJ,4,ALEJANDRO DE RODAS 3102 -A COL. LAS CUMBRES 8VO SEC MONTERREY NUEVO LEON MEXICO 64610,CUAUHTEMOC,3260,41,1,2.09999990463257,2,0,1,0,929,MANUEL GONZALEZ EJE 2 NTE y EJE CENTRAL,0,0,FC,2,0,0,0,1,16,0,1,1,0,6,6,No. de Folio:,No. de Folio:,1
136,12688,240,19215,3846 SC BUENAVISTA,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,CUAUHTEMOC,6300,GUERRERO,AVENIDA INSURGENTES NORTE,131,1,1,30,EGFJ,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,CUAUHTEMOC,4,29,1,2.09999990463257,2,0,1,0,3846,VIOLETA y AVENIDA INSURGENTES NORTE,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
137,20139,240,19215,3846 SC BUENAVISTA,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,CUAUHTEMOC,6300,GUERRERO,AVENIDA INSURGENTES NORTE,131,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,CUAUHTEMOC,4,29,1,2.5,1,0,1,0,3846,VIOLETA y AVENIDA INSURGENTES NORTE,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
138,39659,240,19215,3846 SC BUENAVISTA,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,CUAUHTEMOC,6300,GUERRERO,AVENIDA INSURGENTES NORTE,131,1,1,30,EGFJ,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,CUAUHTEMOC,4,29,1,2.09999990463257,2,0,1,0,3846,VIOLETA y AVENIDA INSURGENTES NORTE,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
